Bulbasaur, 1, grass, poison, | —, —, 7, 13, 20, 27, 34, 41, 48, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Spearow, 21, normal, flying, | —, —, 9, 15, 22, 29, 36, TM02, TM04, TM06, TM09, TM10, TM20, TM31, TM32, TM34, TM39, TM43, TM44, TM50, HM02, | Peck, Growl, Leer, Fury Attack, Mirror Move, Drill Peck, Agility, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Rage, Mimic, Double Team, Bide, Swift, Sky Attack, Rest, Substitute, Fly, | 1, 20, | Spearow, Fearow, | , , 
Fearow, 22, normal, flying, | —, —, —, 9, 15, 25, 34, 43, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM31, TM32, TM34, TM39, TM43, TM44, TM50, HM02, | Peck, Growl, Leer, Leer, Fury Attack, Mirror Move, Drill Peck, Agility, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Bide, Swift, Sky Attack, Rest, Substitute, Fly, | 1, 20, | Spearow, Fearow, | , , 
Ekans, 23, poison, , | —, —, 10, 17, 24, 31, 38, TM06, TM08, TM09, TM10, TM20, TM21, TM26, TM27, TM28, TM31, TM32, TM34, TM40, TM44, TM48, TM50, HM04, | Wrap, Leer, Poison Sting, Bite, Glare, Screech, Acid, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 22, | Ekans, Arbok, | , , 
Arbok, 24, poison, , | —, —, —, 10, 17, 27, 36, 47, TM06, TM08, TM09, TM10, TM15, TM20, TM21, TM26, TM27, TM28, TM31, TM32, TM34, TM40, TM44, TM48, TM50, HM04, | Wrap, Leer, Poison Sting, Poison Sting, Bite, Glare, Screech, Acid, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 22, | Ekans, Arbok, | , , 
Pikachu, 25, electric, , | —, —, 9, 16, 26, 33, 43, TM01, TM05, TM06, TM08, TM09, TM10, TM16, TM17, TM19, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM45, TM50, HM05, | Thunder Shock, Growl, Thunder Wave, Quick Attack, Swift, Agility, Thunder, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Pay Day, Submission, Seismic Toss, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Thunder Wave, Substitute, Flash, | 1, , | Pikachu, Raichu, | , thunderstone, 
Raichu, 26, electric, , | —, —, —, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM16, TM17, TM19, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM45, TM50, HM05, | Thunder Shock, Growl, Thunder Wave, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Pay Day, Submission, Seismic Toss, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Thunder Wave, Substitute, Flash, | 1, , | Pikachu, Raichu, | , thunderstone, 
Sandshrew, 27, ground, , | —, 10, 17, 24, 31, 38, TM03, TM06, TM08, TM09, TM10, TM17, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM39, TM40, TM44, TM48, TM50, HM01, HM04, | Scratch, Sand-Attack, Slash, Poison Sting, Swift, Fury Swipes, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Submission, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Rock Slide, Substitute, Cut, Strength, | 1, 22, | Sandshrew, Sandslash, | , , 
Sandslash, 28, ground, , | —, —, 10, 17, 27, 36, 47, TM03, TM06, TM08, TM09, TM10, TM15, TM17, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM39, TM40, TM44, TM48, TM50, HM01, HM04, | Scratch, Sand-Attack, Sand-Attack, Slash, Poison Sting, Swift, Fury Swipes, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Rock Slide, Substitute, Cut, Strength, | 1, 22, | Sandshrew, Sandslash, | , , 
NidoranF, 29, poison, , | —, —, 8, 14, 21, 29, 36, 43, TM06, TM08, TM09, TM10, TM14, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM40, TM44, TM50, | Growl, Tackle, Scratch, Poison Sting, Tail Whip, Bite, Fury Swipes, Double Kick, Toxic, Body Slam, Take Down, Double-Edge, Blizzard, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, | 1, 16, , | NidoranF, Nidorina, Nidoqueen, | , , moonstone, 
Nidorina, 30, poison, , | —, —, 8, 14, 23, 32, 41, 50, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM40, TM44, TM50, | Growl, Tackle, Scratch, Poison Sting, Tail Whip, Bite, Fury Swipes, Double Kick, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, | 1, 16, , | NidoranF, Nidorina, Nidoqueen, | , , moonstone, 
Nidoqueen, 31, poison, ground, | —, —, —, —, 8, 14, 23, TM01, TM05, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM24, TM25, TM26, TM27, TM31, TM32, TM33, TM34, TM38, TM40, TM44, TM48, TM50, HM03, HM04, | Tackle, Body Slam, Scratch, Tail Whip, Scratch, Poison Sting, Body Slam, Mega Punch, Mega Kick, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Mimic, Double Team, Reflect, Bide, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Surf, Strength, | 1, 16, , | NidoranF, Nidorina, Nidoqueen, | , , moonstone, 
NidoranM, 32, poison, , | —, —, 8, 14, 21, 29, 36, 43, TM06, TM08, TM09, TM10, TM14, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM40, TM44, TM50, | Leer, Tackle, Horn Attack, Poison Sting, Focus Energy, Fury Attack, Horn Drill, Double Kick, Toxic, Body Slam, Take Down, Double-Edge, Blizzard, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, | 1, 16, , | NidoranM, Nidorino, Nidoking, | , , moonstone, 
Nidorino, 33, poison, , | —, —, —, 8, 14, 23, 32, 41, 50, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM40, TM44, TM50, | Leer, Tackle, Horn Attack, Horn Attack, Poison Sting, Focus Energy, Fury Attack, Horn Drill, Double Kick, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, | 1, 16, , | NidoranM, Nidorino, Nidoking, | , , moonstone, 
Nidoking, 34, poison, ground, | —, —, —, —, 8, 14, 23, TM01, TM05, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM24, TM25, TM26, TM27, TM31, TM32, TM33, TM34, TM38, TM40, TM44, TM48, TM50, HM03, HM04, | Tackle, Horn Attack, Poison Sting, Thrash, Horn Attack, Poison Sting, Thrash, Mega Punch, Mega Kick, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Mimic, Double Team, Reflect, Bide, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Surf, Strength, | 1, 16, , | NidoranM, Nidorino, Nidoking, | , , moonstone, 
Clefairy, 35, normal, , | —, —, 13, 18, 24, 31, 39, 48, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM38, TM40, TM44, TM45, TM46, TM49, TM50, HM04, HM05, | Pound, Growl, Sing, Double Slap, Minimize, Metronome, Defense Curl, Light Screen, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Fire Blast, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Strength, Flash, | 1, , | Clefairy, Clefable, | , moonstone, 
Clefable, 36, normal, , | —, —, —, —, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM38, TM40, TM44, TM45, TM46, TM49, TM50, HM04, HM05, | Sing, Double Slap, Minimize, Metronome, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Fire Blast, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Strength, Flash, | 1, , | Clefairy, Clefable, | , moonstone, 
Vulpix, 37, fire, , | —, —, 16, 21, 28, 35, 42, TM06, TM08, TM09, TM10, TM20, TM28, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Ember, Tail Whip, Quick Attack, Roar, Confuse Ray, Flamethrower, Fire Spin, Toxic, Body Slam, Take Down, Double-Edge, Rage, Dig, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, , | Vulpix, Ninetales, | , firestone, 
Ninetales, 38, fire, , | —, —, —, —, TM06, TM08, TM09, TM10, TM15, TM20, TM28, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Ember, Tail Whip, Quick Attack, Roar, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Dig, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, , | Vulpix, Ninetales, | , firestone, 
Jigglypuff, 39, normal, , | —, 9, 14, 19, 24, 29, 34, 39, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM38, TM40, TM44, TM45, TM46, TM49, TM50, HM04, HM05, | Sing, Pound, Disable, Defense Curl, Double Slap, Rest, Body Slam, Double-Edge, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Fire Blast, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Strength, Flash, | 1, , | Jigglypuff, Wigglytuff, | , moonstone, 
Wigglytuff, 40, normal, , | —, —, —, —, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM38, TM40, TM44, TM45, TM46, TM49, TM50, HM04, HM05, | Sing, Disable, Defense Curl, Double Slap, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Fire Blast, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Strength, Flash, | 1, , | Jigglypuff, Wigglytuff, | , moonstone, 
Zubat, 41, poison, flying, | —, 10, 15, 21, 28, 36, TM02, TM04, TM06, TM09, TM10, TM20, TM21, TM31, TM32, TM34, TM39, TM44, TM50, | Leech Life, Supersonic, Bite, Confuse Ray, Wing Attack, Haze, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Rage, Mega Drain, Mimic, Double Team, Bide, Swift, Rest, Substitute, | 1, 22, | Zubat, Golbat, | , , 
Golbat, 42, poison, flying, | —, —, —, 10, 15, 21, 32, 43, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM21, TM31, TM32, TM34, TM39, TM44, TM50, | Leech Life, Screech, Bite, Supersonic, Bite, Confuse Ray, Wing Attack, Haze, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Mimic, Double Team, Bide, Swift, Rest, Substitute, | 1, 22, | Zubat, Golbat, | , , 
Oddish, 43, grass, poison, | —, 15, 17, 19, 24, 33, 46, TM03, TM06, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Absorb, Poison Powder, Stun Spore, Sleep Powder, Acid, Petal Dance, Solar Beam, Swords Dance, Toxic, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 21, , | Oddish, Gloom, Vileplume, | , , leafstone, 
Gloom, 44, grass, poison, | —, —, —, 15, 17, 19, 28, 38, 52, TM03, TM06, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Absorb, Poison Powder, Stun Spore, Poison Powder, Stun Spore, Sleep Powder, Acid, Petal Dance, Solar Beam, Swords Dance, Toxic, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 21, , | Oddish, Gloom, Vileplume, | , , leafstone, 
Vileplume, 45, grass, poison, | —, —, —, —, 15, 17, 19, TM03, TM06, TM08, TM09, TM10, TM15, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Stun Spore, Sleep Powder, Acid, Petal Dance, Poison Powder, Stun Spore, Sleep Powder, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 21, , | Oddish, Gloom, Vileplume, | , , leafstone, 
Paras, 46, bug, grass, | —, 13, 20, 27, 34, 41, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM28, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM01, | Scratch, Stun Spore, Leech Life, Spore, Slash, Growth, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Dig, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Cut, | 1, 24, | Paras, Parasect, | , , 
Parasect, 47, bug, grass, | —, —, —, 13, 20, 30, 39, 48, TM03, TM06, TM08, TM09, TM10, TM15, TM20, TM21, TM22, TM28, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM01, | Scratch, Stun Spore, Leech Life, Stun Spore, Leech Life, Spore, Slash, Growth, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Dig, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Cut, | 1, 24, | Paras, Parasect, | , , 
Venonat, 48, bug, poison, | —, —, 24, 27, 30, 35, 38, 43, TM06, TM09, TM10, TM20, TM21, TM22, TM29, TM31, TM32, TM33, TM34, TM44, TM46, TM50, HM05, | Tackle, Disable, Poison Powder, Leech Life, Stun Spore, Psybeam, Sleep Powder, Psychic, Toxic, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Psychic, Mimic, Double Team, Reflect, Bide, Rest, Psywave, Substitute, Flash, | 1, 31, | Venonat, Venomoth, | , , 
